Time ,Xa,Ya,Za,,,,,,
9.853479853,-1.01,0.01,-0.05,,,0.05,-1,269,0.03663003663
9.89010989,-1.07,0.3,0.07,,,-0.07,-1,270,0.03663003663
9.926739927,-1.02,0.2,0.02,,,-0.02,-1,271,0.03663003663
9.963369963,-1.08,0.23,0.03,,,-0.03,-1,272,0.03663003663
10,-0.96,0.21,0.04,,,-0.04,-1,273,0.03663003663
10.03663004,-0.99,0.18,0.01,,,-0.01,-1,274,0.03663003663
10.07326007,-0.99,0.19,0.02,,,-0.02,-1,275,0.03663003663
10.10989011,-1.02,0.1,-0.03,,,0.03,-1,276,0.03663003663
10.14652015,-1.03,0.34,0.07,,,-0.07,-1,277,0.03663003663
10.18315018,-1.07,0.14,0.01,,,-0.01,-1,278,0.03663003663
10.21978022,-1.07,0.23,0.03,,,-0.03,-1,279,0.03663003663
10.25641026,-1.03,0.32,0.06,,,-0.06,-1,280,0.03663003663
10.29304029,-1.01,0.09,-0.02,,,0.02,-1,281,0.03663003663
10.32967033,-1.01,0.16,0.01,,,-0.01,-1,282,0.03663003663
10.36630037,-1.05,0.26,0.04,,,-0.04,-1,283,0.03663003663
10.4029304,-1.06,0.11,-0.03,,,0.03,-1,284,0.03663003663
10.43956044,-1.07,0.2,0.03,,,-0.03,-1,285,0.03663003663
10.47619048,-1.05,0.11,0,,,0,-1,286,0.03663003663
10.51282051,-1.11,0.24,0.04,,,-0.04,-1,287,0.03663003663
10.54945055,-1.04,0.26,0.04,,,-0.04,-1,288,0.03663003663
10.58608059,-1.04,0.14,0,,,0,-1,289,0.03663003663
10.62271062,-0.96,0.16,0.02,,,-0.02,-1,290,0.03663003663
10.65934066,-1.03,0.23,0.03,,,-0.03,-1,291,0.03663003663
10.6959707,-0.98,0.12,0,,,0,-1,292,0.03663003663
10.73260073,-1.08,0.12,0,,,0,-1,293,0.03663003663
10.76923077,-1.12,0.3,0.06,,,-0.06,-1,294,0.03663003663
10.80586081,-1.01,0.19,0.02,,,-0.02,-1,295,0.03663003663
10.84249084,-1.03,0.09,-0.01,,,0.01,-1,296,0.03663003663
10.87912088,-1.08,0.23,0.03,,,-0.03,-1,297,0.03663003663
10.91575092,-1.03,0.17,0.01,,,-0.01,-1,298,0.03663003663
10.95238095,-1.01,0.09,0,,,0,-1,299,0.03663003663
10.98901099,-1.13,0.21,0.02,,,-0.02,-1,300,0.03663003663
11.02564103,-0.99,0.18,0.02,,,-0.02,-1,301,0.03663003663
11.06227106,-1.11,0.08,-0.02,,,0.02,-1,302,0.03663003663
11.0989011,-1.05,0.26,0.05,,,-0.05,-1,303,0.03663003663
11.13553114,-1.05,0.35,0.08,,,-0.08,-1,304,0.03663003663
11.17216117,-1.02,0.03,-0.04,,,0.04,-1,305,0.03663003663
11.20879121,-1.08,0.23,0.04,,,-0.04,-1,306,0.03663003663
11.24542125,-1.08,0.34,0.07,,,-0.07,-1,307,0.03663003663
11.28205128,-0.98,0.08,-0.02,,,0.02,-1,308,0.03663003663
11.31868132,-1.03,0.16,0.02,,,-0.02,-1,309,0.03663003663
11.35531136,-1.04,0.24,0.04,,,-0.04,-1,310,0.03663003663
11.39194139,-1.11,0.13,-0.02,,,0.02,-1,311,0.03663003663
11.42857143,-1.05,0.41,0.1,,,-0.1,-1,312,0.03663003663
11.46520147,-0.99,0.08,-0.03,,,0.03,-1,313,0.03663003663
11.5018315,-1,0.12,-0.01,,,0.01,-1,314,0.03663003663
