time,Xa,Ya,Za,,,,,,
11.57647059,-1.02,0.16,0,,,0,-1,246,0.04705882353
11.62352941,-1.03,0.19,0.02,,,-0.02,-1,247,0.04705882353
11.67058824,-1.01,0.11,0,,,0,-1,248,0.04705882353
11.71764706,-1.08,0.14,-0.01,,,0.01,-1,249,0.04705882353
11.76470588,-1.11,0.15,0,,,0,-1,250,0.04705882353
11.81176471,-1.11,0.16,0,,,0,-1,251,0.04705882353
11.85882353,-1.08,0.23,0.02,,,-0.02,-1,252,0.04705882353
11.90588235,-1.09,0.14,-0.02,,,0.02,-1,253,0.04705882353
11.95294118,-1.18,0.2,0.01,,,-0.01,-1,254,0.04705882353
12,-1.05,0.16,0,,,0,-1,255,0.04705882353
12.04705882,-1.11,0.14,-0.03,,,0.03,-1,256,0.04705882353
12.09411765,-1.03,0.27,0.04,,,-0.04,-1,257,0.04705882353
12.14117647,-0.93,0.3,0.05,,,-0.05,-1,258,0.04705882353
12.18823529,-0.95,0.2,0.02,,,-0.02,-1,259,0.04705882353
12.23529412,-1.01,0.18,0.02,,,-0.02,-1,260,0.04705882353
12.28235294,-1,0.23,0.02,,,-0.02,-1,261,0.04705882353
12.32941176,-0.98,0.22,0.04,,,-0.04,-1,262,0.04705882353
12.37647059,-1.12,0.17,0.01,,,-0.01,-1,263,0.04705882353
12.42352941,-1.02,0.16,0.02,,,-0.02,-1,264,0.04705882353
12.47058824,-0.99,0.12,0.02,,,-0.02,-1,265,0.04705882353
12.51764706,-1.1,0.16,0.03,,,-0.03,-1,266,0.04705882353
12.56470588,-1.14,0.18,0.01,,,-0.01,-1,267,0.04705882353
12.61176471,-1.15,0.18,0.02,,,-0.02,-1,268,0.04705882353
12.65882353,-1.11,0.27,0.03,,,-0.03,-1,269,0.04705882353
12.70588235,-1.07,0.22,0.04,,,-0.04,-1,270,0.04705882353
12.75294118,-0.95,0.18,0.02,,,-0.02,-1,271,0.04705882353
12.8,-1,0.24,0.05,,,-0.05,-1,272,0.04705882353
12.84705882,-0.94,0.16,0.04,,,-0.04,-1,273,0.04705882353
12.89411765,-1.07,0.1,0,,,0,-1,274,0.04705882353
12.94117647,-1.11,0.15,0.01,,,-0.01,-1,275,0.04705882353
12.98823529,-1.22,0.2,0.02,,,-0.02,-1,276,0.04705882353
13.03529412,-1.1,0.12,-0.02,,,0.02,-1,277,0.04705882353
13.08235294,-1.15,0.16,-0.01,,,0.01,-1,278,0.04705882353
13.12941176,-1.07,0.21,0.01,,,-0.01,-1,279,0.04705882353
13.17647059,-0.98,0.22,0.02,,,-0.02,-1,280,0.04705882353
13.22352941,-0.91,0.24,0.04,,,-0.04,-1,281,0.04705882353
13.27058824,-0.92,0.21,0.04,,,-0.04,-1,282,0.04705882353
13.31764706,-1.01,0.17,0.03,,,-0.03,-1,283,0.04705882353
13.36470588,-0.96,0.14,0.02,,,-0.02,-1,284,0.04705882353
13.41176471,-1.14,0.09,0,,,0,-1,285,0.04705882353
13.45882353,-1.2,0.14,-0.01,,,0.01,-1,286,0.04705882353
13.50588235,-1.04,0.14,0,,,0,-1,287,0.04705882353
13.55294118,-0.94,0.15,0,,,0,-1,288,0.04705882353
13.6,-0.97,0.14,0.02,,,-0.02,-1,289,0.04705882353
13.64705882,-1.05,0.14,0,,,0,-1,290,0.04705882353
13.69411765,-1.12,0.2,0.02,,,-0.02,-1,291,0.04705882353
13.74117647,-1.08,0.18,0,,,0,-1,292,0.04705882353
13.78823529,-1.09,0.23,0.01,,,-0.01,-1,293,0.04705882353
13.83529412,-1.02,0.23,0.03,,,-0.03,-1,294,0.04705882353
13.88235294,-0.98,0.22,0.03,,,-0.03,-1,295,0.04705882353
13.92941176,-0.89,0.17,0.02,,,-0.02,-1,296,0.04705882353
13.97647059,-1.07,0.16,-0.01,,,0.01,-1,297,0.04705882353
14.02352941,-1.03,0.19,0.02,,,-0.02,-1,298,0.04705882353
14.07058824,-0.98,0.17,0.02,,,-0.02,-1,299,0.04705882353
14.11764706,-1.04,0.21,0.03,,,-0.03,-1,300,0.04705882353
14.16470588,-1,0.17,0.02,,,-0.02,-1,301,0.04705882353
14.21176471,-1.07,0.17,0.01,,,-0.01,-1,302,0.04705882353
14.25882353,0,0,0,,,0,-1,303,0.04705882353
14.30588235,-1.02,0.22,0.02,,,-0.02,-1,304,0.04705882353
14.35294118,-1.13,0.21,0,,,0,-1,305,0.04705882353
14.4,-1.01,0.29,0.05,,,-0.05,-1,306,0.04705882353
14.44705882,-0.95,0.27,0.06,,,-0.06,-1,307,0.04705882353
14.49411765,-0.84,0.11,0,,,0,-1,308,0.04705882353
14.54117647,-0.85,0.13,0.02,,,-0.02,-1,309,0.04705882353
14.58823529,-1.01,0.29,0.05,,,-0.05,-1,310,0.04705882353
14.63529412,-0.95,0.19,0.02,,,-0.02,-1,311,0.04705882353
14.68235294,-1.05,0.1,0.01,,,-0.01,-1,312,0.04705882353
14.72941176,-1.08,0.14,0.01,,,-0.01,-1,313,0.04705882353
14.77647059,-1.09,0.15,0.03,,,-0.03,-1,314,0.04705882353
