time,Xa,Ya,Za,,,,,,,,
3.926605505,-0.93,0.16,0.02,,,,,-1,-0.02,107,0.03669724771
3.963302752,-0.9,0.17,0.02,,,,,-1,-0.02,108,0.03669724771
4,-1.1,0.18,0.03,,,,,-1,-0.03,109,0.03669724771
4.036697248,-0.99,0.16,0,,,,,-1,0,110,0.03669724771
4.073394495,-1.02,0.16,0.02,,,,,-1,-0.02,111,0.03669724771
4.110091743,-1.16,0.13,-0.03,,,,,-1,0.03,112,0.03669724771
4.146788991,-0.88,0.19,0.03,,,,,-1,-0.03,113,0.03669724771
4.183486239,-1.07,0.16,0.02,,,,,-1,-0.02,114,0.03669724771
4.220183486,-1.07,0.24,0.02,,,,,-1,-0.02,115,0.03669724771
4.256880734,-1.19,0.27,0.03,,,,,-1,-0.03,116,0.03669724771
4.293577982,-1.06,0.18,0,,,,,-1,0,117,0.03669724771
4.330275229,-1.07,0.14,-0.03,,,,,-1,0.03,118,0.03669724771
4.366972477,-1.08,0.17,0,,,,,-1,0,119,0.03669724771
4.403669725,-0.96,0.14,0,,,,,-1,0,120,0.03669724771
4.440366972,-0.98,0.2,0.02,,,,,-1,-0.02,121,0.03669724771
4.47706422,-1.12,0.23,0.02,,,,,-1,-0.02,122,0.03669724771
4.513761468,-1.07,0.2,0,,,,,-1,0,123,0.03669724771
4.550458716,-1.07,0.18,-0.01,,,,,-1,0.01,124,0.03669724771
4.587155963,-1.04,0.23,0,,,,,-1,0,125,0.03669724771
4.623853211,-1.07,0.14,0.02,,,,,-1,-0.02,126,0.03669724771
4.660550459,-1.06,0.2,0,,,,,-1,0,127,0.03669724771
4.697247706,-1.04,0.17,-0.02,,,,,-1,0.02,128,0.03669724771
4.733944954,-1.16,0.24,0,,,,,-1,0,129,0.03669724771
4.770642202,-1.01,0.23,0,,,,,-1,0,130,0.03669724771
4.80733945,-0.94,0.18,0.03,,,,,-1,-0.03,131,0.03669724771
4.844036697,-1.13,0.19,0.01,,,,,-1,-0.01,132,0.03669724771
4.880733945,-1.09,0.22,0,,,,,-1,0,133,0.03669724771
4.917431193,-1,0.19,0,,,,,-1,0,134,0.03669724771
4.95412844,-0.97,0.18,0,,,,,-1,0,135,0.03669724771
4.990825688,-1.09,0.16,0.03,,,,,-1,-0.03,136,0.03669724771
5.027522936,-1.05,0.14,-0.01,,,,,-1,0.01,137,0.03669724771
5.064220183,-1.07,0.19,0,,,,,-1,0,138,0.03669724771
5.100917431,-1.1,0.21,0.02,,,,,-1,-0.02,139,0.03669724771
5.137614679,-1.02,0.2,0.03,,,,,-1,-0.03,140,0.03669724771
5.174311927,-1.05,0.18,0.02,,,,,-1,-0.02,141,0.03669724771
5.211009174,-0.96,0.14,0.02,,,,,-1,-0.02,142,0.03669724771
5.247706422,-1.09,0.24,0.01,,,,,-1,-0.01,143,0.03669724771
5.28440367,-1,0.16,0.02,,,,,-1,-0.02,144,0.03669724771
5.321100917,-1,0.18,0.02,,,,,-1,-0.02,145,0.03669724771
5.357798165,-1.05,0.14,0,,,,,-1,0,146,0.03669724771
5.394495413,-1.28,0.21,0.02,,,,,-1,-0.02,147,0.03669724771
5.431192661,-1.09,0.18,0,,,,,-1,0,148,0.03669724771
5.467889908,-1.14,0.17,-0.02,,,,,-1,0.02,149,0.03669724771
5.504587156,-1,0.16,-0.02,,,,,-1,0.02,150,0.03669724771
5.541284404,-1.07,0.12,0.03,,,,,-1,-0.03,151,0.03669724771
5.577981651,-1.16,0.19,0,,,,,-1,0,152,0.03669724771
5.614678899,-1.04,0.13,0.01,,,,,-1,-0.01,153,0.03669724771
5.651376147,-0.99,0.18,0.02,,,,,-1,-0.02,154,0.03669724771
5.688073394,-1,0.22,0.01,,,,,-1,-0.01,155,0.03669724771
5.724770642,-0.97,0.13,0.01,,,,,-1,-0.01,156,0.03669724771
5.76146789,-0.86,0.2,0.01,,,,,-1,-0.01,157,0.03669724771
5.798165138,-0.91,0.1,-0.03,,,,,-1,0.03,158,0.03669724771
5.834862385,-1.04,0.19,0.01,,,,,-1,-0.01,159,0.03669724771
5.871559633,-0.92,0.14,0.04,,,,,-1,-0.04,160,0.03669724771
5.908256881,-1.04,0.15,-0.02,,,,,-1,0.02,161,0.03669724771
5.944954128,-1,0.23,0.01,,,,,-1,-0.01,162,0.03669724771
5.981651376,-1.04,0.22,0.02,,,,,-1,-0.02,163,0.03669724771
6.018348624,-0.99,0.2,0.05,,,,,-1,-0.05,164,0.03669724771
6.055045872,-1.04,0.18,0.01,,,,,-1,-0.01,165,0.03669724771
6.091743119,-1.05,0.18,0,,,,,-1,0,166,0.03669724771
6.128440367,-1.05,0.2,0.04,,,,,-1,-0.04,167,0.03669724771
6.165137615,-1.07,0.24,0.02,,,,,-1,-0.02,168,0.03669724771
6.201834862,-1.05,0.19,0.01,,,,,-1,-0.01,169,0.03669724771
6.23853211,-0.89,0.22,0.05,,,,,-1,-0.05,170,0.03669724771
