Time,Xa,Ya,Za,,,,,,,,,,,
6.180422265,-0.13,-1.06,-0.15,,,,,,,,,,0.038387716,161
6.218809981,-0.09,-1.07,-0.27,,,,,,,,,,0.038387716,162
6.257197697,-0.11,-0.95,-0.18,,,,,,,,,,0.038387716,163
6.295585413,-0.1,-1.08,-0.15,,,,,,,,,,0.038387716,164
6.333973129,-0.12,-1.08,-0.21,,,,,,,,,,0.038387716,165
6.372360845,-0.11,-1.26,-0.13,,,,,,,,,,0.038387716,166
6.41074856,-0.05,-1,-0.11,,,,,,,,,,0.038387716,167
6.449136276,-0.12,-0.84,-0.21,,,,,,,,,,0.038387716,168
6.487523992,-0.06,-0.92,-0.24,,,,,,,,,,0.038387716,169
6.525911708,-0.16,-1.03,-0.11,,,,,,,,,,0.038387716,170
6.564299424,-0.07,-1.05,-0.19,,,,,,,,,,0.038387716,171
6.60268714,-0.14,-0.88,-0.21,,,,,,,,,,0.038387716,172
6.641074856,-0.14,-1.05,-0.19,,,,,,,,,,0.038387716,173
6.679462572,-0.14,-0.97,-0.2,,,,,,,,,,0.038387716,174
6.717850288,-0.07,-1.06,-0.15,,,,,,,,,,0.038387716,175
6.756238004,-0.11,-0.84,-0.2,,,,,,,,,,0.038387716,176
6.79462572,-0.08,-1.04,-0.2,,,,,,,,,,0.038387716,177
6.833013436,-0.1,-0.87,-0.17,,,,,,,,,,0.038387716,178
6.871401152,-0.1,-1,-0.18,,,,,,,,,,0.038387716,179
6.909788868,-0.06,-0.93,-0.17,,,,,,,,,,0.038387716,180
6.948176583,-0.07,-1.08,-0.16,,,,,,,,,,0.038387716,181
6.986564299,-0.09,-1,-0.23,,,,,,,,,,0.038387716,182
7.024952015,-0.14,-0.86,-0.23,,,,,,,,,,0.038387716,183
7.063339731,-0.09,-1.15,-0.18,,,,,,,,,,0.038387716,184
7.101727447,-0.11,-1.19,-0.16,,,,,,,,,,0.038387716,185
7.140115163,-0.13,-0.84,-0.21,,,,,,,,,,0.038387716,186
7.178502879,-0.14,-1.06,-0.16,,,,,,,,,,0.038387716,187
7.216890595,-0.06,-1.07,-0.17,,,,,,,,,,0.038387716,188
7.255278311,-0.08,-1.05,-0.2,,,,,,,,,,0.038387716,189
7.293666027,-0.1,-1.04,-0.12,,,,,,,,,,0.038387716,190
7.332053743,-0.14,-0.8,-0.23,,,,,,,,,,0.038387716,191
7.370441459,-0.07,-1.03,-0.16,,,,,,,,,,0.038387716,192
7.408829175,-0.11,-0.96,-0.2,,,,,,,,,,0.038387716,193
7.447216891,-0.08,-0.98,-0.17,,,,,,,,,,0.038387716,194
7.485604607,-0.09,-0.95,-0.21,,,,,,,,,,0.038387716,195
