Time,Xa,Ya,Za,,,,,,,,,,
8.252788104,-0.18,-0.57,-0.25,,,,,,,,,0.037174721,222
8.289962825,0.03,-1.84,-0.1,,,,,,,,,0.037174721,223
8.327137546,-0.21,-1.22,-0.22,,,,,,,,,0.037174721,224
8.364312268,-0.29,-0.54,-0.3,,,,,,,,,0.037174721,225
8.401486989,-0.04,-0.89,-0.18,,,,,,,,,0.037174721,226
8.43866171,0,-1.08,-0.36,,,,,,,,,0.037174721,227
8.475836431,-0.21,-0.9,-0.28,,,,,,,,,0.037174721,228
8.513011152,-0.36,-1.06,-0.17,,,,,,,,,0.037174721,229
8.550185874,-0.15,-1.14,-0.22,,,,,,,,,0.037174721,230
8.587360595,-0.24,-0.95,-0.22,,,,,,,,,0.037174721,231
8.624535316,-0.16,-0.76,-0.09,,,,,,,,,0.037174721,232
8.661710037,-0.3,-1.4,-0.09,,,,,,,,,0.037174721,233
8.698884758,-0.18,-0.72,-0.28,,,,,,,,,0.037174721,234
8.73605948,-0.2,-0.75,-0.13,,,,,,,,,0.037174721,235
8.773234201,0.06,-1.05,-0.21,,,,,,,,,0.037174721,236
8.810408922,-0.41,-0.56,-0.28,,,,,,,,,0.037174721,237
8.847583643,-0.09,-1.18,-0.05,,,,,,,,,0.037174721,238
8.884758364,-0.2,-1.14,-0.11,,,,,,,,,0.037174721,239
8.921933086,-0.23,-0.8,-0.29,,,,,,,,,0.037174721,240
8.959107807,-0.22,-1.27,-0.05,,,,,,,,,0.037174721,241
8.996282528,-0.34,-1.35,-0.32,,,,,,,,,0.037174721,242
9.033457249,-0.33,-0.91,-0.22,,,,,,,,,0.037174721,243
9.07063197,-0.34,-1.06,-0.19,,,,,,,,,0.037174721,244
9.107806691,-0.2,-1.27,-0.33,,,,,,,,,0.037174721,245
9.144981413,-0.1,-0.71,-0.25,,,,,,,,,0.037174721,246
9.182156134,-0.31,-1.14,-0.31,,,,,,,,,0.037174721,247
9.219330855,-0.19,-0.64,-0.3,,,,,,,,,0.037174721,248
9.256505576,-0.16,-0.97,-0.18,,,,,,,,,0.037174721,249
9.293680297,-0.43,-0.61,-0.25,,,,,,,,,0.037174721,250
9.330855019,-0.11,-0.34,-0.25,,,,,,,,,0.037174721,251
9.36802974,-0.14,-1.13,-0.22,,,,,,,,,0.037174721,252
9.405204461,-0.14,-0.85,-0.23,,,,,,,,,0.037174721,253
9.442379182,0,-0.9,-0.12,,,,,,,,,0.037174721,254
9.479553903,-0.16,-1.71,-0.14,,,,,,,,,0.037174721,255
9.516728625,-0.08,-0.67,-0.17,,,,,,,,,0.037174721,256
9.553903346,-0.3,-1.13,-0.11,,,,,,,,,0.037174721,257
9.591078067,-0.37,-0.68,-0.17,,,,,,,,,0.037174721,258
9.628252788,-0.29,-1.54,-0.23,,,,,,,,,0.037174721,259
9.665427509,-0.1,-1.24,-0.21,,,,,,,,,0.037174721,260
9.70260223,-0.2,-0.88,-0.21,,,,,,,,,0.037174721,261
9.739776952,-0.2,-1.4,-0.18,,,,,,,,,0.037174721,262
9.776951673,-0.21,-0.64,-0.2,,,,,,,,,0.037174721,263
9.814126394,-0.21,-0.94,-0.27,,,,,,,,,0.037174721,264
9.851301115,-0.34,-0.67,-0.24,,,,,,,,,0.037174721,265
9.888475836,-0.21,-1.37,-0.15,,,,,,,,,0.037174721,266
9.925650558,0.06,-1.43,-0.17,,,,,,,,,0.037174721,267
9.962825279,-0.3,-0.7,-0.11,,,,,,,,,0.037174721,268
10,-0.17,-1.3,-0.16,,,,,,,,,0.037174721,269
10.03717472,-0.22,-0.88,-0.21,,,,,,,,,0.037174721,270
10.07434944,-0.36,-0.62,-0.28,,,,,,,,,0.037174721,271
10.11152416,-0.32,-0.62,-0.34,,,,,,,,,0.037174721,272
10.14869888,-0.2,-0.73,-0.22,,,,,,,,,0.037174721,273
10.18587361,-0.2,-1.57,-0.2,,,,,,,,,0.037174721,274
10.22304833,-0.32,-0.45,-0.37,,,,,,,,,0.037174721,275
10.26022305,-0.13,-1.34,-0.13,,,,,,,,,0.037174721,276
10.29739777,-0.37,-0.75,-0.24,,,,,,,,,0.037174721,277
10.33457249,-0.2,-1.14,-0.23,,,,,,,,,0.037174721,278
10.37174721,-0.07,-0.93,-0.14,,,,,,,,,0.037174721,279
10.40892193,-0.17,-0.59,-0.15,,,,,,,,,0.037174721,280
10.44609665,-0.32,-1.11,-0.18,,,,,,,,,0.037174721,281
10.48327138,-0.3,-1.31,-0.3,,,,,,,,,0.037174721,282
10.5204461,-0.35,-0.56,-0.37,,,,,,,,,0.037174721,283
10.55762082,-0.16,-1.63,-0.3,,,,,,,,,0.037174721,284
10.59479554,-0.18,-0.89,-0.17,,,,,,,,,0.037174721,285
10.63197026,-0.17,-1.61,-0.16,,,,,,,,,0.037174721,286
10.66914498,-0.27,-1.13,-0.29,,,,,,,,,0.037174721,287
10.7063197,-0.07,-0.98,-0.21,,,,,,,,,0.037174721,288
10.74349442,-0.23,-1.08,-0.08,,,,,,,,,0.037174721,289
10.78066914,-0.43,-0.73,-0.24,,,,,,,,,0.037174721,290
10.81784387,-0.3,-1.86,-0.11,,,,,,,,,0.037174721,291
10.85501859,-0.28,-1.47,-0.19,,,,,,,,,0.037174721,292
10.89219331,-0.23,-0.62,-0.22,,,,,,,,,0.037174721,293
10.92936803,-0.29,-0.75,-0.29,,,,,,,,,0.037174721,294
10.96654275,-0.21,-0.91,-0.29,,,,,,,,,0.037174721,295
11.00371747,-0.23,-0.91,-0.23,,,,,,,,,0.037174721,296
11.04089219,-0.01,-1.35,-0.09,,,,,,,,,0.037174721,297
11.07806691,-0.29,-0.13,-0.29,,,,,,,,,0.037174721,298
11.11524164,-0.29,-0.77,-0.18,,,,,,,,,0.037174721,299
11.15241636,-0.22,-1.11,-0.24,,,,,,,,,0.037174721,300
11.18959108,-0.39,-0.78,-0.27,,,,,,,,,0.037174721,301
11.2267658,-0.14,-1.26,-0.09,,,,,,,,,0.037174721,302
11.26394052,-0.42,-1.37,-0.24,,,,,,,,,0.037174721,303
11.30111524,-0.2,-0.44,-0.2,,,,,,,,,0.037174721,304
11.33828996,-0.11,-1.03,-0.22,,,,,,,,,0.037174721,305
11.37546468,-0.17,-1.15,-0.33,,,,,,,,,0.037174721,306
11.41263941,-0.36,-0.61,-0.23,,,,,,,,,0.037174721,307
11.44981413,-0.17,-1.45,-0.03,,,,,,,,,0.037174721,308
11.48698885,-0.37,-0.88,-0.08,,,,,,,,,0.037174721,309
11.52416357,-0.36,-0.2,-0.27,,,,,,,,,0.037174721,310
11.56133829,-0.17,-1.12,-0.23,,,,,,,,,0.037174721,311
11.59851301,-0.27,-0.37,-0.34,,,,,,,,,0.037174721,312
11.63568773,-0.25,-1.09,-0.2,,,,,,,,,0.037174721,313
11.67286245,-0.12,-1.04,-0.24,,,,,,,,,0.037174721,314
11.71003717,-0.05,-1.34,-0.07,,,,,,,,,0.037174721,315
11.7472119,-0.31,-1.09,-0.19,,,,,,,,,0.037174721,316
11.78438662,-0.22,-0.23,-0.32,,,,,,,,,0.037174721,317
11.82156134,-0.25,-1.22,-0.28,,,,,,,,,0.037174721,318
11.85873606,-0.2,-1.02,-0.28,,,,,,,,,0.037174721,319
11.89591078,-0.41,-0.95,-0.08,,,,,,,,,0.037174721,320
11.9330855,-0.27,-0.41,-0.15,,,,,,,,,0.037174721,321
11.97026022,-0.19,-0.59,-0.3,,,,,,,,,0.037174721,322
12.00743494,-0.14,-0.82,-0.34,,,,,,,,,0.037174721,323
12.04460967,-0.34,-0.22,-0.33,,,,,,,,,0.037174721,324
12.08178439,-0.06,-1.19,-0.07,,,,,,,,,0.037174721,325
12.11895911,-0.12,-1.42,-0.35,,,,,,,,,0.037174721,326
