,time,Xa,Ya,Za,,,,,,,
,7.126865672,-0.96,0.36,0.07,,,,-1,-0.07,191,0.03731343284
,7.164179104,-1.03,0.3,0.05,,,,-1,-0.05,192,0.03731343284
,7.201492537,-1.06,0.33,0.04,,,,-1,-0.04,193,0.03731343284
,7.23880597,-1.08,0.32,0.04,,,,-1,-0.04,194,0.03731343284
,7.276119403,-0.97,0.37,0.07,,,,-1,-0.07,195,0.03731343284
,7.313432836,-1.05,0.35,0.04,,,,-1,-0.04,196,0.03731343284
,7.350746269,-0.87,0.27,0.04,,,,-1,-0.04,197,0.03731343284
,7.388059701,-1.11,0.28,0.03,,,,-1,-0.03,198,0.03731343284
,7.425373134,-0.96,0.39,0.06,,,,-1,-0.06,199,0.03731343284
,7.462686567,-1.01,0.32,0.04,,,,-1,-0.04,200,0.03731343284
,7.5,-1.03,0.33,0.05,,,,-1,-0.05,201,0.03731343284
,7.537313433,-0.91,0.31,0.07,,,,-1,-0.07,202,0.03731343284
,7.574626866,-0.98,0.3,0.04,,,,-1,-0.04,203,0.03731343284
,7.611940299,-0.98,0.31,0.05,,,,-1,-0.05,204,0.03731343284
,7.649253731,-0.91,0.31,0.05,,,,-1,-0.05,205,0.03731343284
,7.686567164,-0.98,0.34,0.05,,,,-1,-0.05,206,0.03731343284
,7.723880597,-0.93,0.38,0.09,,,,-1,-0.09,207,0.03731343284
,7.76119403,-1.08,0.26,0.02,,,,-1,-0.02,208,0.03731343284
,7.798507463,-0.94,0.38,0.07,,,,-1,-0.07,209,0.03731343284
,7.835820896,-1.07,0.3,0.02,,,,-1,-0.02,210,0.03731343284
,7.873134328,-0.99,0.32,0.05,,,,-1,-0.05,211,0.03731343284
,7.910447761,-0.98,0.35,0.06,,,,-1,-0.06,212,0.03731343284
,7.947761194,-0.95,0.3,0.05,,,,-1,-0.05,213,0.03731343284
,7.985074627,-1.07,0.35,0.05,,,,-1,-0.05,214,0.03731343284
,8.02238806,-0.92,0.35,0.07,,,,-1,-0.07,215,0.03731343284
,8.059701493,-0.99,0.29,0.03,,,,-1,-0.03,216,0.03731343284
,8.097014925,-0.89,0.32,0.06,,,,-1,-0.06,217,0.03731343284
,8.134328358,-1.02,0.3,0.04,,,,-1,-0.04,218,0.03731343284
,8.171641791,-0.95,0.3,0.04,,,,-1,-0.04,219,0.03731343284
,8.208955224,-1.01,0.34,0.05,,,,-1,-0.05,220,0.03731343284
,8.246268657,-0.98,0.31,0.05,,,,-1,-0.05,221,0.03731343284
,8.28358209,-1.07,0.3,0.04,,,,-1,-0.04,222,0.03731343284
,8.320895522,-0.99,0.37,0.06,,,,-1,-0.06,223,0.03731343284
,8.358208955,-1.08,0.24,0.01,,,,-1,-0.01,224,0.03731343284
,8.395522388,-0.96,0.35,0.05,,,,-1,-0.05,225,0.03731343284
,8.432835821,-0.94,0.39,0.09,,,,-1,-0.09,226,0.03731343284
,8.470149254,-1.04,0.25,0.02,,,,-1,-0.02,227,0.03731343284
,8.507462687,-0.89,0.35,0.07,,,,-1,-0.07,228,0.03731343284
,8.544776119,-1.07,0.28,0.02,,,,-1,-0.02,229,0.03731343284
,8.582089552,-1.04,0.24,0.01,,,,-1,-0.01,230,0.03731343284
,8.619402985,-1.01,0.34,0.06,,,,-1,-0.06,231,0.03731343284
,8.656716418,-1.01,0.25,0.02,,,,-1,-0.02,232,0.03731343284
