time,Xa,Ya,Za,,,,,,,
5.580524345,-0.88,0.41,0.1,,,,-1,-0.1,149,0.03745318352
5.617977528,-1.05,0.3,0.07,,,,-1,-0.07,150,0.03745318352
5.655430712,-1.07,0.34,0.07,,,,-1,-0.07,151,0.03745318352
5.692883895,-1.01,0.36,0.08,,,,-1,-0.08,152,0.03745318352
5.730337079,-1.11,0.3,0.05,,,,-1,-0.05,153,0.03745318352
5.767790262,-1.07,0.32,0.04,,,,-1,-0.04,154,0.03745318352
5.805243446,-1.08,0.34,0.07,,,,-1,-0.07,155,0.03745318352
5.842696629,-1.08,0.34,0.06,,,,-1,-0.06,156,0.03745318352
5.880149813,-0.94,0.28,0.07,,,,-1,-0.07,157,0.03745318352
5.917602996,-1.12,0.33,0.05,,,,-1,-0.05,158,0.03745318352
5.95505618,-0.86,0.32,0.09,,,,-1,-0.09,159,0.03745318352
5.992509363,-1.06,0.4,0.07,,,,-1,-0.07,160,0.03745318352
6.029962547,-0.95,0.3,0.06,,,,-1,-0.06,161,0.03745318352
6.06741573,-0.93,0.3,0.05,,,,-1,-0.05,162,0.03745318352
6.104868914,-1.09,0.31,0.04,,,,-1,-0.04,163,0.03745318352
6.142322097,-1.04,0.31,0.05,,,,-1,-0.05,164,0.03745318352
6.179775281,-1.09,0.23,0.02,,,,-1,-0.02,165,0.03745318352
6.217228464,-1.07,0.21,0.02,,,,-1,-0.02,166,0.03745318352
6.254681648,-1.23,0.27,0.01,,,,-1,-0.01,167,0.03745318352
6.292134831,-1.08,0.34,0.05,,,,-1,-0.05,168,0.03745318352
6.329588015,-1.12,0.34,0.04,,,,-1,-0.04,169,0.03745318352
6.367041199,-1.04,0.37,0.04,,,,-1,-0.04,170,0.03745318352
6.404494382,-0.95,0.38,0.08,,,,-1,-0.08,171,0.03745318352
6.441947566,-0.88,0.31,0.08,,,,-1,-0.08,172,0.03745318352
6.479400749,-1,0.33,0.05,,,,-1,-0.05,173,0.03745318352
6.516853933,-0.94,0.39,0.07,,,,-1,-0.07,174,0.03745318352
6.554307116,-0.91,0.3,0.04,,,,-1,-0.04,175,0.03745318352
6.5917603,-1.03,0.34,0.07,,,,-1,-0.07,176,0.03745318352
6.629213483,-1.15,0.33,0.03,,,,-1,-0.03,177,0.03745318352
6.666666667,-1.18,0.28,0.04,,,,-1,-0.04,178,0.03745318352
6.70411985,-1.02,0.33,0.04,,,,-1,-0.04,179,0.03745318352
6.741573034,-1.09,0.24,0.03,,,,-1,-0.03,180,0.03745318352
