Time	Xa		Ya		Za				
5.730337079	-0.03	Ya=	-0.96	Za=	-0.07			0.037453184	153
5.767790262	-0.07	Ya=	-1.05	Za=	-0.04			0.037453184	154
5.805243446	-0.06	Ya=	-1.05	Za=	-0.04			0.037453184	155
5.842696629	-0.05	Ya=	-1.07	Za=	-0.03			0.037453184	156
5.880149813	-0.06	Ya=	-1.01	Za=	-0.02			0.037453184	157
5.917602996	-0.06	Ya=	-0.93	Za=	-0.08			0.037453184	158
5.95505618	-0.05	Ya=	-1.08	Za=	0			0.037453184	159
5.992509363	-0.03	Ya=	-0.96	Za=	-0.04			0.037453184	160
6.029962547	-0.05	Ya=	-1.05	Za=	-0.07			0.037453184	161
6.06741573	-0.06	Ya=	-0.94	Za=	-0.09			0.037453184	162
6.104868914	-0.05	Ya=	-1.04	Za=	-0.06			0.037453184	163
6.142322097	-0.04	Ya=	-0.92	Za=	-0.07			0.037453184	164
6.179775281	-0.07	Ya=	-1.04	Za=	0.01			0.037453184	165
6.217228464	-0.02	Ya=	-0.97	Za=	-0.04			0.037453184	166
6.254681648	-0.06	Ya=	-0.97	Za=	-0.06			0.037453184	167
6.292134831	-0.04	Ya=	-1.14	Za=	-0.06			0.037453184	168
6.329588015	-0.03	Ya=	-1.09	Za=	-0.07			0.037453184	169
6.367041199	-0.05	Ya=	-0.96	Za=	-0.04			0.037453184	170
6.404494382	-0.07	Ya=	-1.06	Za=	-0.07			0.037453184	171
6.441947566	-0.06	Ya=	-0.99	Za=	-0.02			0.037453184	172
6.479400749	-0.02	Ya=	-1.02	Za=	-0.06			0.037453184	173
6.516853933	-0.03	Ya=	-1.02	Za=	-0.05			0.037453184	174
6.554307116	-0.05	Ya=	-1.13	Za=	-0.02			0.037453184	175
6.5917603	-0.06	Ya=	-0.88	Za=	-0.09			0.037453184	176
6.629213483	-0.01	Ya=	-1.05	Za=	-0.08			0.037453184	177
6.666666667	-0.02	Ya=	-1	Za=	-0.07			0.037453184	178
6.70411985	-0.07	Ya=	-1.08	Za=	-0.02			0.037453184	179
6.741573034	-0.06	Ya=	-0.97	Za=	-0.07			0.037453184	180
6.779026217	-0.05	Ya=	-0.98	Za=	-0.11			0.037453184	181
6.816479401	-0.06	Ya=	-1.08	Za=	-0.01			0.037453184	182
6.853932584	-0.05	Ya=	-0.93	Za=	-0.09			0.037453184	183
6.891385768	-0.04	Ya=	-1.1	Za=	-0.04			0.037453184	184
6.928838951	-0.04	Ya=	-0.96	Za=	-0.07			0.037453184	185
6.966292135	-0.06	Ya=	-0.98	Za=	-0.1			0.037453184	186
7.003745318	-0.04	Ya=	-1.05	Za=	-0.07			0.037453184	187
7.041198502	-0.05	Ya=	-0.98	Za=	-0.08			0.037453184	188
7.078651685	-0.04	Ya=	-1.05	Za=	-0.02			0.037453184	189
7.116104869	-0.03	Ya=	-1.07	Za=	-0.05			0.037453184	190
7.153558052	-0.04	Ya=	-0.98	Za=	-0.05			0.037453184	191
7.191011236	-0.03	Ya=	-0.96	Za=	-0.09			0.037453184	192
7.228464419	-0.06	Ya=	-0.89	Za=	-0.11			0.037453184	193
7.265917603	-0.02	Ya=	-1.1	Za=	0.01			0.037453184	194
7.303370787	-0.07	Ya=	-0.99	Za=	-0.05			0.037453184	195
7.34082397	-0.04	Ya=	-1.06	Za=	-0.03			0.037453184	196
7.378277154	-0.03	Ya=	-1	Za=	-0.04			0.037453184	197
7.415730337	-0.08	Ya=	-1.08	Za=	-0.08			0.037453184	198
7.453183521	-0.03	Ya=	-1.1	Za=	-0.04			0.037453184	199
7.490636704	-0.07	Ya=	-1.02	Za=	-0.04			0.037453184	200
7.528089888	-0.04	Ya=	-0.88	Za=	-0.1			0.037453184	201
7.565543071	-0.05	Ya=	-1.12	Za=	0			0.037453184	202
7.602996255	-0.03	Ya=	-0.96	Za=	-0.11			0.037453184	203
7.640449438	-0.03	Ya=	-1.12	Za=	-0.05			0.037453184	204
7.677902622	-0.07	Ya=	-1.09	Za=	-0.05			0.037453184	205
7.715355805	-0.06	Ya=	-0.92	Za=	-0.03			0.037453184	206
7.752808989	-0.05	Ya=	-1.04	Za=	0.01			0.037453184	207
7.790262172	-0.02	Ya=	-1.09	Za=	-0.07			0.037453184	208
7.827715356	-0.06	Ya=	-1	Za=	-0.02			0.037453184	209
7.865168539	-0.04	Ya=	-0.95	Za=	-0.15			0.037453184	210
7.902621723	-0.04	Ya=	-1.09	Za=	-0.05			0.037453184	211
7.940074906	-0.06	Ya=	-1.1	Za=	-0.02			0.037453184	212
7.97752809	-0.03	Ya=	-0.91	Za=	-0.06			0.037453184	213
8.014981273	-0.04	Ya=	-0.96	Za=	-0.05			0.037453184	214
8.052434457	-0.05	Ya=	-0.99	Za=	-0.05			0.037453184	215
8.08988764	-0.04	Ya=	-0.94	Za=	-0.05			0.037453184	216
8.127340824	-0.05	Ya=	-0.93	Za=	-0.03			0.037453184	217
8.164794007	-0.05	Ya=	-1.02	Za=	-0.03			0.037453184	218
8.202247191	-0.03	Ya=	-0.88	Za=	-0.07			0.037453184	219
8.239700375	-0.04	Ya=	-1	Za=	-0.02			0.037453184	220
8.277153558	-0.04	Ya=	-1.01	Za=	-0.05			0.037453184	221
8.314606742	-0.05	Ya=	-1.02	Za=	-0.02			0.037453184	222
8.352059925	-0.03	Ya=	-1.07	Za=	-0.13			0.037453184	223
8.389513109	0	Ya=	-1.13	Za=	0			0.037453184	224
8.426966292	-0.04	Ya=	-1.02	Za=	-0.02			0.037453184	225
8.464419476	-0.04	Ya=	-1	Za=	-0.11			0.037453184	226
8.501872659	-0.05	Ya=	-1.04	Za=	-0.02			0.037453184	227
8.539325843	-0.04	Ya=	-0.94	Za=	-0.08			0.037453184	228
8.576779026	-0.02	Ya=	-1.01	Za=	-0.08			0.037453184	229
8.61423221	-0.05	Ya=	-0.95	Za=	-0.06			0.037453184	230
8.651685393	-0.07	Ya=	-1.06	Za=	-0.01			0.037453184	231
8.689138577	-0.07	Ya=	-0.98	Za=	-0.11			0.037453184	232
8.72659176	-0.06	Ya=	-0.91	Za=	-0.01			0.037453184	233
8.764044944	-0.04	Ya=	-1.06	Za=	-0.02			0.037453184	234
8.801498127	-0.03	Ya=	-1	Za=	-0.05			0.037453184	235
8.838951311	-0.04	Ya=	-1.07	Za=	-0.02			0.037453184	236
8.876404494	-0.05	Ya=	-1.05	Za=	-0.05			0.037453184	237
8.913857678	-0.04	Ya=	-1	Za=	-0.04			0.037453184	238
8.951310861	-0.01	Ya=	-1.04	Za=	-0.05			0.037453184	239
8.988764045	-0.02	Ya=	-1.07	Za=	-0.04			0.037453184	240
9.026217228	-0.04	Ya=	-0.89	Za=	-0.05			0.037453184	241
9.063670412	-0.04	Ya=	-0.92	Za=	-0.07			0.037453184	242
9.101123596	-0.04	Ya=	-1.07	Za=	-0.03			0.037453184	243
9.138576779	-0.05	Ya=	-0.95	Za=	-0.08			0.037453184	244
9.176029963	-0.03	Ya=	-1.12	Za=	-0.09			0.037453184	245
9.213483146	-0.06	Ya=	-0.99	Za=	-0.09			0.037453184	246
9.25093633	0.01	Ya=	-1.01	Za=	-0.05			0.037453184	247
9.288389513	-0.06	Ya=	-1.05	Za=	-0.1			0.037453184	248
9.325842697	-0.05	Ya=	-1	Za=	-0.08			0.037453184	249
9.36329588	-0.03	Ya=	-1.16	Za=	0			0.037453184	250
9.400749064	-0.04	Ya=	-1.03	Za=	-0.07			0.037453184	251
9.438202247	-0.05	Ya=	-1.04	Za=	-0.07			0.037453184	252
9.475655431	-0.05	Ya=	-1.02	Za=	-0.05			0.037453184	253
9.513108614	-0.02	Ya=	-0.86	Za=	-0.09			0.037453184	254
9.550561798	-0.05	Ya=	-1.17	Za=	0			0.037453184	255
9.588014981	-0.04	Ya=	-0.98	Za=	0.02			0.037453184	256
9.625468165	-0.04	Ya=	-1.1	Za=	-0.06			0.037453184	257
9.662921348	-0.04	Ya=	-0.94	Za=	-0.03			0.037453184	258
9.700374532	-0.06	Ya=	-0.92	Za=	-0.11			0.037453184	259
9.737827715	-0.05	Ya=	-1.07	Za=	-0.02			0.037453184	260
9.775280899	-0.04	Ya=	-0.98	Za=	-0.04			0.037453184	261
9.812734082	-0.03	Ya=	-1.02	Za=	-0.05			0.037453184	262
9.850187266	-0.04	Ya=	-0.98	Za=	-0.07			0.037453184	263
9.887640449	-0.05	Ya=	-0.86	Za=	-0.02			0.037453184	264
9.925093633	-0.05	Ya=	-1.02	Za=	-0.09			0.037453184	265
9.962546816	-0.06	Ya=	-1	Za=	0			0.037453184	266
10	-0.05	Ya=	-0.9	Za=	-0.11			0.037453184	267
10.03745318	-0.04	Ya=	-1.11	Za=	-0.05			0.037453184	268
10.07490637	-0.03	Ya=	-1.12	Za=	-0.04			0.037453184	269
10.11235955	-0.03	Ya=	-0.93	Za=	-0.12			0.037453184	270
10.14981273	-0.05	Ya=	-1.03	Za=	0			0.037453184	271
10.18726592	-0.05	Ya=	-1.09	Za=	-0.04			0.037453184	272
10.2247191	-0.05	Ya=	-1.01	Za=	-0.09			0.037453184	273
10.26217228	-0.04	Ya=	-0.99	Za=	-0.05			0.037453184	274
10.29962547	-0.02	Ya=	-1.05	Za=	-0.11			0.037453184	275
10.33707865	-0.06	Ya=	-1.09	Za=	-0.03			0.037453184	276
10.37453184	0	Ya=	-1.01	Za=	-0.04			0.037453184	277
10.41198502	-0.04	Ya=	-1.05	Za=	-0.07			0.037453184	278
10.4494382	-0.07	Ya=	-0.99	Za=	-0.01			0.037453184	279
10.48689139	-0.06	Ya=	-0.99	Za=	-0.11			0.037453184	280
10.52434457	-0.03	Ya=	-0.91	Za=	-0.05			0.037453184	281
10.56179775	-0.04	Ya=	-1.05	Za=	-0.09			0.037453184	282
10.59925094	-0.02	Ya=	-1.04	Za=	-0.05			0.037453184	283
10.63670412	-0.08	Ya=	-0.98	Za=	-0.07			0.037453184	284
10.6741573	-0.06	Ya=	-1	Za=	-0.05			0.037453184	285
10.71161049	-0.05	Ya=	-0.94	Za=	0			0.037453184	286
10.74906367	-0.06	Ya=	-1.11	Za=	-0.07			0.037453184	287
10.78651685	-0.04	Ya=	-1	Za=	-0.03			0.037453184	288
10.82397004	-0.03	Ya=	-0.93	Za=	-0.08			0.037453184	289
10.86142322	-0.06	Ya=	-1.14	Za=	-0.09			0.037453184	290
10.8988764	-0.05	Ya=	-0.96	Za=	-0.05			0.037453184	291
10.93632959	-0.03	Ya=	-1.01	Za=	-0.05			0.037453184	292
10.97378277	-0.05	Ya=	-0.96	Za=	-0.03			0.037453184	293
11.01123596	-0.05	Ya=	-0.98	Za=	-0.04			0.037453184	294
11.04868914	-0.06	Ya=	-0.9	Za=	-0.11			0.037453184	295
11.08614232	-0.05	Ya=	-1.06	Za=	0.02			0.037453184	296
11.12359551	-0.02	Ya=	-1.02	Za=	-0.07			0.037453184	297
11.16104869	-0.05	Ya=	-1.04	Za=	-0.11			0.037453184	298
11.19850187	-0.06	Ya=	-0.97	Za=	-0.08			0.037453184	299
11.23595506	-0.04	Ya=	-1.1	Za=	-0.05			0.037453184	300
11.27340824	-0.04	Ya=	-1.11	Za=	-0.08			0.037453184	301
11.31086142	-0.03	Ya=	-0.98	Za=	-0.09			0.037453184	302
11.34831461	-0.04	Ya=	-1.04	Za=	-0.01			0.037453184	303
11.38576779	-0.04	Ya=	-0.98	Za=	-0.09			0.037453184	304
11.42322097	-0.08	Ya=	-1.03	Za=	-0.02			0.037453184	305
11.46067416	-0.03	Ya=	-0.99	Za=	0.01			0.037453184	306
11.49812734	-0.02	Ya=	-0.88	Za=	-0.11			0.037453184	307
11.53558052	-0.02	Ya=	-1.05	Za=	-0.09			0.037453184	308
11.57303371	-0.03	Ya=	-1	Za=	-0.08			0.037453184	309
11.61048689	-0.04	Ya=	-1.03	Za=	-0.02			0.037453184	310
11.64794007	-0.03	Ya=	-1.03	Za=	-0.05			0.037453184	311
11.68539326	-0.05	Ya=	-1.05	Za=	-0.05			0.037453184	312
11.72284644	-0.04	Ya=	-0.93	Za=	-0.12			0.037453184	313
11.76029963	-0.06	Ya=	-1.14	Za=	0.04			0.037453184	314
11.79775281	-0.08	Ya=	-1.05	Za=	0			0.037453184	315
11.83520599	-0.03	Ya=	-0.96	Za=	-0.1			0.037453184	316
11.87265918	-0.05	Ya=	-0.96	Za=	-0.07			0.037453184	317
11.91011236	-0.05	Ya=	-1	Za=	-0.07			0.037453184	318
11.94756554	-0.06	Ya=	-0.88	Za=	-0.11			0.037453184	319
11.98501873	-0.05	Ya=	-1.1	Za=	-0.02			0.037453184	320
12.02247191	-0.05	Ya=	-1.02	Za=	-0.08			0.037453184	321
12.05992509	-0.04	Ya=	-1.01	Za=	-0.07			0.037453184	322
12.09737828	-0.04	Ya=	-0.89	Za=	-0.05			0.037453184	323
12.13483146	-0.07	Ya=	-1.01	Za=	-0.09			0.037453184	324
12.17228464	-0.06	Ya=	-0.95	Za=	-0.03			0.037453184	325
12.20973783	-0.06	Ya=	-1.12	Za=	0			0.037453184	326
12.24719101	-0.07	Ya=	-1.02	Za=	-0.05			0.037453184	327
12.28464419	-0.03	Ya=	-0.98	Za=	-0.03			0.037453184	328
12.32209738	-0.07	Ya=	-1.12	Za=	-0.05			0.037453184	329
12.35955056	-0.01	Ya=	-1.1	Za=	-0.07			0.037453184	330
12.39700375	-0.07	Ya=	-0.88	Za=	-0.04			0.037453184	331
12.43445693	-0.04	Ya=	-1.08	Za=	-0.02			0.037453184	332
12.47191011	-0.07	Ya=	-1	Za=	0			0.037453184	333
12.5093633	-0.07	Ya=	-1.01	Za=	-0.04			0.037453184	334
12.54681648	-0.03	Ya=	-1.04	Za=	-0.09			0.037453184	335
12.58426966	-0.05	Ya=	-0.86	Za=	-0.12			0.037453184	336
12.62172285	-0.04	Ya=	-0.95	Za=	-0.1			0.037453184	337
12.65917603	-0.06	Ya=	-1.2	Za=	-0.03			0.037453184	338
12.69662921	-0.06	Ya=	-0.91	Za=	-0.09			0.037453184	339
12.7340824	-0.02	Ya=	-1.1	Za=	-0.06			0.037453184	340
12.77153558	-0.02	Ya=	-1.08	Za=	-0.07			0.037453184	341
12.80898876	0	Ya=	-1.03	Za=	-0.09			0.037453184	342
12.84644195	-0.05	Ya=	-1.02	Za=	-0.06			0.037453184	343
12.88389513	-0.03	Ya=	-0.97	Za=	-0.03			0.037453184	344
12.92134831	-0.07	Ya=	-1.02	Za=	-0.1			0.037453184	345
12.9588015	-0.05	Ya=	-0.97	Za=	-0.08			0.037453184	346
12.99625468	-0.05	Ya=	-1.07	Za=	-0.04			0.037453184	347
13.03370787	-0.03	Ya=	-1.04	Za=	-0.11			0.037453184	348
13.07116105	-0.07	Ya=	-1.04	Za=	-0.08			0.037453184	349
13.10861423	-0.01	Ya=	-1.1	Za=	-0.07			0.037453184	350
13.14606742	-0.04	Ya=	-1.02	Za=	-0.03			0.037453184	351
13.1835206	-0.05	Ya=	-1.03	Za=	-0.07			0.037453184	352
13.22097378	-0.02	Ya=	-1.06	Za=	-0.11			0.037453184	353
13.25842697	-0.05	Ya=	-0.98	Za=	-0.03			0.037453184	354
13.29588015	-0.03	Ya=	-0.94	Za=	-0.02			0.037453184	355
13.33333333	-0.02	Ya=	-1.17	Za=	-0.03			0.037453184	356
13.37078652	-0.04	Ya=	-1.04	Za=	-0.07			0.037453184	357
13.4082397	-0.04	Ya=	-1.09	Za=	-0.02			0.037453184	358
13.44569288	-0.05	Ya=	-1.11	Za=	-0.09			0.037453184	359
13.48314607	-0.02	Ya=	-0.96	Za=	-0.05			0.037453184	360
13.52059925	-0.04	Ya=	-0.98	Za=	-0.11			0.037453184	361
13.55805243	-0.06	Ya=	-0.98	Za=	-0.03			0.037453184	362
13.59550562	-0.04	Ya=	-1.14	Za=	-0.04			0.037453184	363
13.6329588	-0.05	Ya=	-0.99	Za=	-0.05			0.037453184	364
13.67041199	-0.04	Ya=	-0.99	Za=	-0.04			0.037453184	365
13.70786517	-0.02	Ya=	-1.06	Za=	-0.07			0.037453184	366
13.74531835	-0.04	Ya=	-1.07	Za=	-0.02			0.037453184	367
13.78277154	-0.05	Ya=	-1	Za=	-0.07			0.037453184	368
13.82022472	-0.05	Ya=	-0.93	Za=	-0.06			0.037453184	369
13.8576779	-0.02	Ya=	-1.05	Za=	-0.07			0.037453184	370
13.89513109	-0.04	Ya=	-1.1	Za=	-0.07			0.037453184	371
