Time,Xa,Ya,Za,,,,,,,,,,,
6.488549618,-0.09,-1.21,-0.46,,,,,,,,,,0.038167939,170
6.526717557,-0.01,-2,-0.25,,,,,,,,,,0.038167939,171
6.564885496,-0.13,-0.75,-0.46,,,,,,,,,,0.038167939,172
6.603053435,-0.1,-1.13,-0.57,,,,,,,,,,0.038167939,173
6.641221374,-0.07,-1.45,-0.34,,,,,,,,,,0.038167939,174
6.679389313,-0.15,-0.6,-0.34,,,,,,,,,,0.038167939,175
6.717557252,-0.16,-1.74,-0.04,,,,,,,,,,0.038167939,176
6.755725191,-0.11,-1.8,-0.11,,,,,,,,,,0.038167939,177
6.79389313,-0.18,-0.16,-0.52,,,,,,,,,,0.038167939,178
6.832061069,-0.1,-1.52,-0.29,,,,,,,,,,0.038167939,179
6.870229008,-0.13,-0.96,-0.3,,,,,,,,,,0.038167939,180
6.908396947,-0.14,-0.81,-0.25,,,,,,,,,,0.038167939,181
6.946564885,-0.04,-1.66,-0.43,,,,,,,,,,0.038167939,182
6.984732824,-0.14,-0.84,-0.42,,,,,,,,,,0.038167939,183
7.022900763,-0.16,-0.15,-0.32,,,,,,,,,,0.038167939,184
7.061068702,-0.11,-1.37,-0.51,,,,,,,,,,0.038167939,185
7.099236641,-0.14,-0.78,-0.3,,,,,,,,,,0.038167939,186
7.13740458,-0.1,-1.21,-0.46,,,,,,,,,,0.038167939,187
7.175572519,-0.1,-1.49,-0.1,,,,,,,,,,0.038167939,188
7.213740458,-0.05,-1.41,-0.76,,,,,,,,,,0.038167939,189
7.251908397,-0.18,-0.97,-0.2,,,,,,,,,,0.038167939,190
7.290076336,-0.06,-1.75,-0.16,,,,,,,,,,0.038167939,191
7.328244275,-0.09,-0.69,-0.4,,,,,,,,,,0.038167939,192
7.366412214,-0.11,-0.87,-0.3,,,,,,,,,,0.038167939,193
7.404580153,-0.06,-0.76,-0.48,,,,,,,,,,0.038167939,194
7.442748092,-0.12,-0.72,-0.44,,,,,,,,,,0.038167939,195
7.480916031,-0.04,-1.2,-0.61,,,,,,,,,,0.038167939,196
7.519083969,-0.13,-0.84,-0.39,,,,,,,,,,0.038167939,197
7.557251908,-0.05,-1.55,-0.37,,,,,,,,,,0.038167939,198
7.595419847,-0.15,-0.51,-0.48,,,,,,,,,,0.038167939,199
7.633587786,-0.09,-1.18,-0.39,,,,,,,,,,0.038167939,200
7.671755725,-0.05,-1.65,-0.37,,,,,,,,,,0.038167939,201
7.709923664,-0.21,-0.54,-0.19,,,,,,,,,,0.038167939,202
7.748091603,-0.09,-0.86,-0.51,,,,,,,,,,0.038167939,203
7.786259542,-0.09,-1.07,-0.37,,,,,,,,,,0.038167939,204
7.824427481,-0.16,-0.68,-0.27,,,,,,,,,,0.038167939,205
7.86259542,-0.05,-0.85,-0.53,,,,,,,,,,0.038167939,206
7.900763359,-0.11,-0.5,-0.5,,,,,,,,,,0.038167939,207
7.938931298,-0.1,-1.15,-0.33,,,,,,,,,,0.038167939,208
7.977099237,-0.12,-1.48,-0.36,,,,,,,,,,0.038167939,209
8.015267176,-0.1,-0.7,-0.36,,,,,,,,,,0.038167939,210
8.053435115,-0.15,-0.14,-0.6,,,,,,,,,,0.038167939,211
8.091603053,-0.09,-1.8,-0.18,,,,,,,,,,0.038167939,212
8.129770992,-0.08,-0.81,-0.27,,,,,,,,,,0.038167939,213
8.167938931,-0.12,-0.79,-0.45,,,,,,,,,,0.038167939,214
8.20610687,-0.12,-1.21,-0.24,,,,,,,,,,0.038167939,215
8.244274809,-0.13,-0.44,-0.57,,,,,,,,,,0.038167939,216
8.282442748,-0.11,-1.1,-0.16,,,,,,,,,,0.038167939,217
8.320610687,-0.16,-0.56,-0.33,,,,,,,,,,0.038167939,218
8.358778626,-0.13,0.01,-0.55,,,,,,,,,,0.038167939,219
8.396946565,-0.06,-0.93,-0.57,,,,,,,,,,0.038167939,220
8.435114504,-0.16,-0.53,-0.27,,,,,,,,,,0.038167939,221
8.473282443,-0.07,-0.58,-0.7,,,,,,,,,,0.038167939,222
8.511450382,-0.14,-1.22,-0.24,,,,,,,,,,0.038167939,223
8.549618321,-0.09,-1.4,-0.21,,,,,,,,,,0.038167939,224
8.58778626,-0.14,-0.95,-0.32,,,,,,,,,,0.038167939,225
8.625954198,-0.07,-1.71,-0.29,,,,,,,,,,0.038167939,226
8.664122137,-0.14,-1.31,-0.14,,,,,,,,,,0.038167939,227
8.702290076,-0.15,-0.55,-0.46,,,,,,,,,,0.038167939,228
8.740458015,-0.03,-1.09,-0.48,,,,,,,,,,0.038167939,229
8.778625954,-0.1,-1.32,-0.25,,,,,,,,,,0.038167939,230
8.816793893,-0.12,-0.63,-0.37,,,,,,,,,,0.038167939,231
8.854961832,-0.15,-1.08,-0.23,,,,,,,,,,0.038167939,232
8.893129771,-0.11,-0.75,-0.45,,,,,,,,,,0.038167939,233
8.93129771,-0.09,-0.73,-0.5,,,,,,,,,,0.038167939,234
8.969465649,-0.17,-0.43,-0.32,,,,,,,,,,0.038167939,235
9.007633588,-0.13,-1.38,-0.32,,,,,,,,,,0.038167939,236
9.045801527,-0.09,-0.79,-0.64,,,,,,,,,,0.038167939,237
9.083969466,-0.1,-0.8,-0.26,,,,,,,,,,0.038167939,238
9.122137405,-0.1,-1.03,-0.41,,,,,,,,,,0.038167939,239
9.160305344,-0.1,-1.16,-0.47,,,,,,,,,,0.038167939,240
9.198473282,-0.14,-0.59,-0.49,,,,,,,,,,0.038167939,241
9.236641221,-0.12,-0.77,-0.45,,,,,,,,,,0.038167939,242
9.27480916,-0.04,-2,-0.2,,,,,,,,,,0.038167939,243
9.312977099,-0.2,-0.37,-0.56,,,,,,,,,,0.038167939,244
